Algorithm,Dataset,MAE,RMSE,R2,Best Parameters,Best Estimator
Linear Regression,Global,0.6959542490021153,0.9648140078775832,0.4931078743355477,,
Linear Regression,Attackers,0.6659275310597293,0.9072540565708213,0.49315834890674104,,
Linear Regression,Midfielders,0.7870831449423936,1.062303671972167,0.4367824395773583,,
Linear Regression,Defenders,0.7376260492916424,1.3786477497312957,-0.5129720917981786,,
Linear Regression,Goalkeepers,0.6537221459003046,0.8003359960327343,0.685429010294875,,
Random Forest,Global,0.5340031103933155,0.749175869969753,0.6943700531588917,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 800}","Pipeline(steps=[('model',
                 RandomForestRegressor(min_samples_leaf=2, min_samples_split=5,
                                       n_estimators=800, n_jobs=-1,
                                       random_state=181))])"
Random Forest,Attackers,0.5693900456862501,0.7357346632500011,0.6666834368503716,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}","Pipeline(steps=[('model',
                 RandomForestRegressor(min_samples_leaf=2, n_estimators=200,
                                       n_jobs=-1, random_state=181))])"
Random Forest,Midfielders,0.6085114490861401,0.8057201486656111,0.6759983139870536,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}","Pipeline(steps=[('model',
                 RandomForestRegressor(max_depth=10, min_samples_leaf=2,
                                       min_samples_split=5, n_estimators=200,
                                       n_jobs=-1, random_state=181))])"
Random Forest,Defenders,0.5419742390594932,0.7640320410379808,0.5353270107997771,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 800}","Pipeline(steps=[('model',
                 RandomForestRegressor(max_depth=20, min_samples_leaf=2,
                                       n_estimators=800, n_jobs=-1,
                                       random_state=181))])"
Random Forest,Goalkeepers,0.7194166106516665,0.9114326108543922,0.5920348220819058,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 500}","Pipeline(steps=[('model',
                 RandomForestRegressor(min_samples_leaf=2, n_estimators=500,
                                       n_jobs=-1, random_state=181))])"
LightGBM,Global,0.5321882029322398,0.7424639203052356,0.6998218667123881,"{'model__learning_rate': 0.01, 'model__n_estimators': 800, 'model__num_leaves': 15}","Pipeline(steps=[('model',
                 LGBMRegressor(learning_rate=0.01, n_estimators=800, n_jobs=-1,
                               num_leaves=15, random_state=181,
                               verbosity=-1))])"
LightGBM,Attackers,0.6026258915669169,0.7998359270208407,0.6060725222872867,"{'model__learning_rate': 0.01, 'model__n_estimators': 800, 'model__num_leaves': 31}","Pipeline(steps=[('model',
                 LGBMRegressor(learning_rate=0.01, n_estimators=800, n_jobs=-1,
                               random_state=181, verbosity=-1))])"
LightGBM,Midfielders,0.5972329074105711,0.7843482810106103,0.6929587539073704,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'model__num_leaves': 31}","Pipeline(steps=[('model',
                 LGBMRegressor(learning_rate=0.01, n_estimators=500, n_jobs=-1,
                               random_state=181, verbosity=-1))])"
LightGBM,Defenders,0.5461971854800284,0.7728051069194591,0.5245944458621881,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'model__num_leaves': 31}","Pipeline(steps=[('model',
                 LGBMRegressor(learning_rate=0.01, n_estimators=500, n_jobs=-1,
                               random_state=181, verbosity=-1))])"
LightGBM,Goalkeepers,0.6408075797998973,0.8400310584574305,0.6534509957467691,"{'model__learning_rate': 0.01, 'model__n_estimators': 500, 'model__num_leaves': 15}","Pipeline(steps=[('model',
                 LGBMRegressor(learning_rate=0.01, n_estimators=500, n_jobs=-1,
                               num_leaves=15, random_state=181,
                               verbosity=-1))])"
XGBoost,Global,0.5388861464645694,0.7556349489788895,0.6890773096751033,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200}","Pipeline(steps=[('model',
                 XGBRegressor(base_score=None, booster=None, callbacks=None,
                              colsample_bylevel=None, colsample_bynode=None,
                              colsample_bytree=None, device=None,
                              early_stopping_rounds=None,
                              enable_categorical=True, eval_metric=None,
                              feature_types=None, feature_weights=None,
                              gamma=None, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.05,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=5, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=200, n_jobs=-1,
                              num_parallel_tree=None, ...))])"
XGBoost,Attackers,0.5656513981370261,0.7455782772835358,0.6577046873948947,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}","Pipeline(steps=[('model',
                 XGBRegressor(base_score=None, booster=None, callbacks=None,
                              colsample_bylevel=None, colsample_bynode=None,
                              colsample_bytree=None, device=None,
                              early_stopping_rounds=None,
                              enable_categorical=True, eval_metric=None,
                              feature_types=None, feature_weights=None,
                              gamma=None, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.05,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=3, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=200, n_jobs=-1,
                              num_parallel_tree=None, ...))])"
XGBoost,Midfielders,0.5806289891843985,0.7980153576563584,0.6821652924158533,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 800}","Pipeline(steps=[('model',
                 XGBRegressor(base_score=None, booster=None, callbacks=None,
                              colsample_bylevel=None, colsample_bynode=None,
                              colsample_bytree=None, device=None,
                              early_stopping_rounds=None,
                              enable_categorical=True, eval_metric=None,
                              feature_types=None, feature_weights=None,
                              gamma=None, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.01,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=3, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=800, n_jobs=-1,
                              num_parallel_tree=None, ...))])"
XGBoost,Defenders,0.5339509630481437,0.7617641950367242,0.5380814575703265,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 500}","Pipeline(steps=[('model',
                 XGBRegressor(base_score=None, booster=None, callbacks=None,
                              colsample_bylevel=None, colsample_bynode=None,
                              colsample_bytree=None, device=None,
                              early_stopping_rounds=None,
                              enable_categorical=True, eval_metric=None,
                              feature_types=None, feature_weights=None,
                              gamma=None, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.01,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=5, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=500, n_jobs=-1,
                              num_parallel_tree=None, ...))])"
XGBoost,Goalkeepers,0.6883026846201296,0.8726408601894394,0.626022859155966,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 500}","Pipeline(steps=[('model',
                 XGBRegressor(base_score=None, booster=None, callbacks=None,
                              colsample_bylevel=None, colsample_bynode=None,
                              colsample_bytree=None, device=None,
                              early_stopping_rounds=None,
                              enable_categorical=True, eval_metric=None,
                              feature_types=None, feature_weights=None,
                              gamma=None, grow_policy=None,
                              importance_type=None,
                              interaction_constraints=None, learning_rate=0.01,
                              max_bin=None, max_cat_threshold=None,
                              max_cat_to_onehot=None, max_delta_step=None,
                              max_depth=3, max_leaves=None,
                              min_child_weight=None, missing=nan,
                              monotone_constraints=None, multi_strategy=None,
                              n_estimators=500, n_jobs=-1,
                              num_parallel_tree=None, ...))])"
