player_name,position,age,market_value_eur,club,season
Emiliano Martínez,Goalkeeper,29.0,28000000.0,Aston Villa,2122
Robin Olsen,Goalkeeper,32.0,2000000.0,Aston Villa,2122
Jed Steer,Goalkeeper,29.0,600000.0,Aston Villa,2122
Viljami Sinisalo,Goalkeeper,20.0,200000.0,Aston Villa,2122
Filip Marschall,Goalkeeper,19.0,,Aston Villa,2122
Tyrone Mings,Centre-Back,29.0,30000000.0,Aston Villa,2122
Ezri Konsa,Centre-Back,24.0,22000000.0,Aston Villa,2122
Calum Chambers,Centre-Back,27.0,10000000.0,Aston Villa,2122
Axel Tuanzebe,Centre-Back,24.0,7000000.0,Aston Villa,2122
Kortney Hause,Centre-Back,26.0,4000000.0,Aston Villa,2122
Sil Swinkels,Centre-Back,18.0,150000.0,Aston Villa,2122
Josh Feeney,Centre-Back,17.0,,Aston Villa,2122
Lucas Digne,Left-Back,28.0,25000000.0,Aston Villa,2122
Matt Targett,Left-Back,26.0,17000000.0,Aston Villa,2122
Ben Chrisene,Left-Back,18.0,150000.0,Aston Villa,2122
Matty Cash,Right-Back,24.0,25000000.0,Aston Villa,2122
Frédéric Guilbert,Right-Back,27.0,7000000.0,Aston Villa,2122
Ashley Young,Right-Back,36.0,1000000.0,Aston Villa,2122
Kaine Kesler-Hayden,Right-Back,19.0,300000.0,Aston Villa,2122
Marvelous Nakamba,Defensive Midfield,28.0,7000000.0,Aston Villa,2122
Lamare Bogarde,Defensive Midfield,18.0,200000.0,Aston Villa,2122
Hayden Lindley,Defensive Midfield,19.0,150000.0,Aston Villa,2122
Douglas Luiz,Central Midfield,24.0,38000000.0,Aston Villa,2122
John McGinn,Central Midfield,27.0,32000000.0,Aston Villa,2122
Jacob Ramsey,Central Midfield,21.0,25000000.0,Aston Villa,2122
Morgan Sanson,Central Midfield,27.0,10000000.0,Aston Villa,2122
Carney Chukwuemeka,Central Midfield,18.0,6000000.0,Aston Villa,2122
Tim Iroegbunam,Central Midfield,19.0,2500000.0,Aston Villa,2122
Conor Hourihane,Central Midfield,31.0,1800000.0,Aston Villa,2122
Philippe Coutinho,Attacking Midfield,30.0,20000000.0,Aston Villa,2122
Aaron Ramsey,Attacking Midfield,19.0,1000000.0,Aston Villa,2122
Tommi O'Reilly,Attacking Midfield,18.0,,Aston Villa,2122
Emiliano Buendía,Left Winger,25.0,32000000.0,Aston Villa,2122
Trezeguet,Left Winger,27.0,10000000.0,Aston Villa,2122
Jaden Philogene,Left Winger,20.0,3000000.0,Aston Villa,2122
Caleb Chukwuemeka,Left Winger,20.0,200000.0,Aston Villa,2122
Leon Bailey,Right Winger,24.0,25000000.0,Aston Villa,2122
Bertrand Traoré,Right Winger,26.0,16000000.0,Aston Villa,2122
Anwar El Ghazi,Right Winger,27.0,9000000.0,Aston Villa,2122
Ollie Watkins,Centre-Forward,26.0,35000000.0,Aston Villa,2122
Danny Ings,Centre-Forward,29.0,20000000.0,Aston Villa,2122
Wesley Moraes,Centre-Forward,25.0,6000000.0,Aston Villa,2122
Cameron Archer,Centre-Forward,20.0,6000000.0,Aston Villa,2122
Keinan Davis,Centre-Forward,24.0,2500000.0,Aston Villa,2122
David Raya,Goalkeeper,26.0,22000000.0,Brentford Fc,2122
Álvaro Ferllo,Goalkeeper,24.0,4000000.0,Brentford Fc,2122
Jonas Lössl,Goalkeeper,33.0,1000000.0,Brentford Fc,2122
Patrik Gunnarsson,Goalkeeper,21.0,500000.0,Brentford Fc,2122
Ellery Balcombe,Goalkeeper,22.0,300000.0,Brentford Fc,2122
Matthew Cox,Goalkeeper,19.0,,Brentford Fc,2122
Kristoffer Ajer,Centre-Back,24.0,18000000.0,Brentford Fc,2122
Ethan Pinnock,Centre-Back,29.0,12000000.0,Brentford Fc,2122
Pontus Jansson,Centre-Back,31.0,7000000.0,Brentford Fc,2122
Mads Bech Sørensen,Centre-Back,23.0,5000000.0,Brentford Fc,2122
Zanka,Centre-Back,32.0,1200000.0,Brentford Fc,2122
Charlie Goode,Centre-Back,26.0,900000.0,Brentford Fc,2122
